crystal_system,space_group,band_gap,volume,density,density_atomic,formation_energy_per_atom,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,cluster,e_electronic,e_ionic,e_total,class
0,215,0.8164000000000002,173.29038260089234,5.341420812523915,21.661297825111543,-0.5719401107812505,23.0,34.0,11.0,30.75,120.0,153.0,33.0,128.625,1.63,2.55,0.92,2.19125,6,8.207708289999998,0.7428640233333331,8.95057231333333,train
3,19,0.8588,1108.8818421155377,5.793370047018977,23.1017050440737,-0.3363640391679065,15.0,47.0,32.0,35.166666666666664,107.0,145.0,38.0,126.16666666666669,1.93,2.55,0.6199999999999999,2.283333333333333,6,9.63907674,5.2452675966666655,14.884344336666665,train
1,121,0.5589000000000004,233.48895157130423,5.9405298354886265,33.35556451018632,-0.4736988417857147,29.0,80.0,51.0,50.0,132.0,139.0,7.0,136.0,1.9,2.66,0.7600000000000002,2.3485714285714288,6,7.257605526666663,3.239782406666667,10.49738793333333,train
3,43,0.4838999999999998,430.2670916237133,4.136235979382881,30.733363687408094,-0.948490984081629,15.0,56.0,41.0,32.57142857142857,107.0,215.0,108.0,153.28571428571428,0.89,2.19,1.2999999999999998,1.6328571428571428,6,9.754175293316242,9.676091046788466,19.43026634010471,train
1,105,0.4772000000000003,548.1884947613943,4.764178087905891,19.57816052719265,-0.6192317234821445,7.0,38.0,31.0,25.0,71.0,195.0,124.0,137.21428571428572,0.95,3.04,2.09,1.9,6,7.336844223333334,9.812171156666668,17.14901538,train
3,62,0.0,482.6282120889446,5.651366987063736,24.13141060444724,-0.6863518204062494,24.0,51.0,27.0,35.4,120.0,139.0,19.0,127.6,1.66,2.55,0.8899999999999999,2.272,6,16.84407687,18.943803526666667,35.78788039666666,train
6,164,0.3967999999999998,173.13858795412915,5.791868242563416,34.62771759082583,-0.611891272,12.0,83.0,71.0,49.2,141.0,215.0,74.0,158.6,0.89,2.02,1.13,1.5100000000000002,6,17.088705800000003,7.0573597566720325,24.14606555667203,train
3,72,0.6228999999999998,352.0592903600018,3.45114699622828,29.338274196666816,-0.4730172370909953,11.0,49.0,38.0,27.33333333333333,119.0,203.0,84.0,158.66666666666666,0.82,2.18,1.3600000000000003,1.4516666666666669,6,7.9892878366666595,6.95583289333333,14.94512072999999,train
3,63,0.6542999999999997,164.53036533736758,3.723102160181024,20.566295667170948,-0.4694485381250004,11.0,33.0,22.0,21.0,119.0,166.0,47.0,145.75,0.93,2.18,1.25,1.485,6,10.38436585333333,6.340067956665959,16.72443380999929,train
0,225,0.3009999999999999,170.8421047372295,4.083087852646046,42.710526184307376,-0.3461948460387942,19.0,83.0,64.0,44.0,148.0,244.0,96.0,199.5,0.79,2.02,1.23,1.1124999999999998,6,11.573917209999996,11.31863561666666,22.89255282666666,train
6,156,0.4801000000000002,370.6888970668618,5.799519849707616,33.698990642441984,-0.8541320937878861,41.0,53.0,12.0,49.63636363636363,138.0,164.0,26.0,145.72727272727272,1.6,2.66,1.06,2.3200000000000003,6,9.138091443333332,1.484006603380385,10.622098046713717,train
1,122,0.0011999999999998,180.38542725334665,5.30038653730052,22.54817840666833,-0.1596135337499999,30.0,33.0,3.0,32.0,119.0,122.0,3.0,120.0,1.65,2.18,0.5300000000000002,2.005,6,17.781105406666665,1.8006310466666664,19.58173645333333,train
6,166,0.6208,53.61179233562066,8.033626613716947,13.402948083905166,-1.2404583075000026,8.0,81.0,73.0,27.0,66.0,166.0,100.0,110.75,0.93,3.44,2.51,2.3575,6,5.3688347666666685,10.092192329998598,15.461027096665264,train
3,31,0.7925999999999993,96.92843705410584,3.513759378228821,16.15473950901764,-0.7902229335416658,3.0,29.0,26.0,16.0,105.0,132.0,27.0,121.66666666666669,0.98,2.58,1.6,1.82,6,7.172433803333331,17.150624906666664,24.32305871,train
1,135,0.0533999999999998,749.4747031062218,4.890163919004697,18.736867577655545,-0.8044763772500026,7.0,38.0,31.0,24.4,71.0,195.0,124.0,130.4,0.95,3.04,2.09,1.998,6,34.79119762000001,9.398266543333335,44.18946416333335,train
5,2,0.7793000000000001,667.4005933186443,5.065798493919578,41.71253708241527,-0.2901138570833335,52.0,53.0,1.0,52.5,138.0,139.0,1.0,138.5,2.1,2.66,0.56,2.38,6,8.418839646666667,28.09344614,36.512285786666666,train
2,186,0.4377,618.3953999616714,3.765986194116567,28.10888181643961,-0.8131399283307214,11.0,38.0,27.0,28.181818181818183,119.0,195.0,76.0,152.8181818181818,0.93,2.18,1.25,1.4700000000000002,6,8.857641036666665,8.654064326147077,17.511705362813743,train
