crystal_system,space_group,band_gap,volume,density,density_atomic,formation_energy_per_atom,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,cluster,e_electronic,e_ionic,e_total,class
1,129,2.3621,374.8566515002569,3.0637542826084045,10.412684763896024,-2.763574754907408,3.0,23.0,20.0,9.22222222222222,66.0,153.0,87.0,94.44444444444444,0.98,3.44,2.46,2.521111111111111,3,3.51017538,13.458969973333334,16.96914535333333,train
1,132,2.8553,234.00062383274624,4.467334910555683,14.62503898954664,-2.7213666031250003,9.0,47.0,38.0,17.75,57.0,164.0,107.0,81.375,1.6,3.98,2.38,3.42625,3,2.688252423333333,12.200485266666666,14.88873769,train
1,88,2.1932,413.77369532084526,2.923454993365975,20.688684766042265,-0.9270947363333344,1.0,81.0,80.0,16.0,31.0,145.0,114.0,74.8,1.62,3.16,1.54,2.6100000000000003,2,2.857922553333333,3.0414028933333337,5.899325446666666,train
3,19,3.1971,856.4600931069921,3.738944986168516,15.29393023405343,-2.6223395661139457,8.0,56.0,48.0,15.714285714285714,66.0,215.0,149.0,91.07142857142856,0.89,3.44,2.55,2.882142857142857,3,2.7347236933333328,5.041199136666666,7.775922829999999,train
0,225,2.3852,139.90959478307295,6.314118688410634,13.990959478307294,-2.5377224785,8.0,56.0,48.0,23.2,66.0,215.0,149.0,110.2,0.89,3.44,2.55,2.623,3,5.267654380000004,35.33111202000003,40.59876640000003,train
4,7,0.2667999999999999,230.9129718435793,6.00871390916307,14.432060740223706,-1.3512095641666653,8.0,47.0,39.0,23.5,66.0,145.0,79.0,99.5,1.65,3.44,1.79,2.66,6,6.178431416666666,6.747677169999999,12.926108586666668,train
4,4,1.7172,340.8299973844067,1.901212253279453,24.344999813171903,-0.0762927324999996,7.0,17.0,10.0,13.714285714285714,71.0,105.0,34.0,94.42857142857144,2.58,3.16,0.5800000000000001,2.877142857142857,10,4.1063038700000005,7.852982893333333,11.959286763333331,train
3,71,1.9062,315.3575746673914,2.7388807315107138,31.535757466739145,-0.8343062732827363,15.0,55.0,40.0,23.6,105.0,244.0,139.0,133.2,0.79,2.58,1.79,2.144,2,3.276318526666666,3.2971475433333333,6.573466069999999,train
3,72,1.2699000000000005,334.5562218589219,3.5323972780483026,33.45562218589219,-0.6003121081904765,14.0,55.0,41.0,30.8,107.0,244.0,137.0,162.6,0.79,2.19,1.4,1.5719999999999998,10,5.49050906333333,5.215061506666663,10.705570569999992,train
4,7,1.2980000000000005,419.6197672797614,8.03947273123004,11.656104646660038,-2.674483477462963,7.0,73.0,66.0,24.11111111111111,66.0,170.0,104.0,97.77777777777776,1.5,3.44,1.94,2.7666666666666666,4,6.692835126666666,27.17206515333333,33.86490028,train
6,166,0.2648000000000001,199.44843139644027,4.994336353132734,16.62070261637002,-1.1330625891249997,8.0,46.0,38.0,22.5,66.0,203.0,137.0,113.16666666666669,0.82,3.44,2.62,2.5900000000000003,6,6.695150476666669,2.6613248566666665,9.356475333333336,train
3,19,5.2447,352.38189664369,3.320305882135808,9.788386017880278,-3.083599603194445,1.0,20.0,19.0,9.77777777777778,31.0,176.0,145.0,85.44444444444444,1.0,3.44,2.44,2.6566666666666667,1,3.158163003333333,6.55425291,9.712415913333333,train
0,225,2.5584,344.2064916898619,2.2987595569022083,22.94709944599079,-1.9537926802988503,11.0,25.0,14.0,15.133333333333333,102.0,166.0,64.0,130.06666666666666,0.93,3.16,2.23,2.1606666666666667,3,2.571205240000145,3.7480106960449504,6.319215936045096,train
6,166,0.0,62.17607917091151,3.461216428851332,20.72535972363717,-0.9834993083333337,17.0,28.0,11.0,20.666666666666668,102.0,124.0,22.0,109.33333333333331,1.91,3.16,1.2500000000000002,2.7433333333333336,6,4.277264125240312,1.568176235002694,5.845440360243007,train
6,166,2.8927,127.13150999291322,5.988964398681737,15.891438749114153,-3.0323471168749982,9.0,82.0,73.0,24.0,57.0,215.0,158.0,87.875,0.89,3.98,3.09,3.3875,3,2.603573566666668,8.989116913333662,11.59269048000033,train
3,63,2.6713,187.88174168847823,2.8631083356525595,13.420124406319871,-1.9806898732512304,8.0,24.0,16.0,11.142857142857142,66.0,166.0,100.0,105.0,0.93,3.44,2.51,2.468571428571429,3,2.8177302466666667,7.434035476666668,10.251765723333335,train
3,74,3.1938,283.7888987357994,5.473618618179214,15.766049929766634,-2.621673945074074,3.0,74.0,71.0,22.0,66.0,170.0,104.0,95.11111111111111,0.98,3.44,2.46,2.831111111111112,3,4.666466450000001,62.62098658666665,67.28745303666666,train
