space_group,band_gap,density,density_atomic,formation_energy_per_atom,e_total,e_ionic,e_electronic,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,cluster
12,0.5911,5.271264458465234,12.825671609750742,-1.0010500970114928,10.16888298,4.089895670000001,6.07898731,8.0,47.0,39.0,18.5,66.0,166.0,100.0,110.75,0.93,3.44,2.51,2.435,4
82,0.9342,4.523613005903234,22.11880242436311,-0.6291346597916654,10.624221016666665,3.2162812833333327,7.407939733333331,16.0,47.0,31.0,27.5,105.0,145.0,40.0,119.0,1.65,2.58,0.9300000000000002,2.23,4
63,0.5807000000000002,4.526602670573324,25.978492406367867,-1.0807392183333324,14.426130466666654,10.62215012999999,3.803980336666664,8.0,55.0,47.0,30.666666666666668,66.0,244.0,178.0,147.33333333333334,0.79,3.44,2.65,2.043333333333333,4
19,5.4471,1.892114587366435,9.982018893410574,-0.9339486967708328,10.060871883333332,7.830013159999999,2.230858723333333,1.0,17.0,16.0,5.833333333333333,31.0,102.0,71.0,54.41666666666666,2.2,3.44,1.2399999999999998,2.9,4
88,1.6034000000000002,5.565161109707231,13.420477107650072,-1.523102002777776,11.095935662293464,5.9356728226680175,5.160262839625448,8.0,47.0,39.0,20.33333333333333,66.0,147.0,81.0,92.66666666666669,1.9,3.44,1.54,2.931666666666666,4
71,4.2829,3.686829194556767,29.01307172239797,-1.9027616888888896,6.100245489188644,3.16226953465155,2.937975954537096,3.0,55.0,52.0,27.666666666666668,120.0,244.0,124.0,143.33333333333334,0.79,2.96,2.17,1.9383333333333328,4
63,0.6204000000000001,3.2433227316373707,17.23387911856504,-1.3726214643124992,6.174516320005537,2.034758163338872,4.139758156666666,8.0,29.0,21.0,16.0,66.0,203.0,137.0,116.75,0.82,3.44,2.62,2.4,4
97,1.2139000000000002,3.6811878578400448,13.087994764016049,-2.2636666,5.7185454805078,2.874916102208466,2.8436293782993345,9.0,29.0,20.0,13.636363636363637,57.0,176.0,119.0,81.45454545454545,1.0,3.98,2.98,3.330909090909091,4
2,0.3902999999999998,4.919775905247241,26.810531894644207,-1.3739872470150871,12.532585656666663,8.831753619999999,3.7008320366666654,8.0,55.0,47.0,33.75,66.0,244.0,178.0,163.25,0.79,3.44,2.65,1.91375,4
31,1.7969,5.782094457860213,8.51579083592615,-2.1611031073958338,14.299906746666666,9.907765266666669,4.39214148,5.0,80.0,75.0,13.0,66.0,132.0,66.0,77.5,2.0,3.44,1.44,2.853333333333333,4
5,0.0,2.6351997817815174,21.916958501992863,-0.4595141849206341,15.715032686666666,1.4083330033333332,14.306699683333337,15.0,28.0,13.0,17.11111111111111,105.0,124.0,19.0,107.55555555555556,1.91,2.58,0.6700000000000002,2.4188888888888886,4
19,4.2222,2.6438317791447266,10.794295901879703,-1.0592832942773445,9.10845806,6.28768463,2.82077343,1.0,34.0,33.0,8.125,31.0,120.0,89.0,57.75,2.2,3.44,1.2399999999999998,2.76125,4
63,2.5471,2.644567307577887,16.33438115740821,-2.4335263225075754,7.880498783333334,5.439543840000002,2.440954943333334,8.0,22.0,14.0,12.545454545454543,57.0,203.0,146.0,109.45454545454544,0.82,3.98,3.16,2.7,4
